Date,Price,Open,High,Low,Change_%,DayOfWeek
2000-10-10,272.75,270.6,272.75,272.75,0.79,Tuesday
2000-10-11,271.25,273.1,271.25,271.25,-0.55,Wednesday
2000-10-12,276.65,270.95,276.65,276.65,1.99,Thursday
2000-10-13,272.65,276.35,272.65,272.65,-1.45,Friday
2000-10-16,272.05,272.45,272.05,272.05,-0.22,Monday
2000-10-17,271.25,272.05,271.25,271.25,-0.29,Tuesday
2000-10-18,270.65,271.6,270.65,270.65,-0.22,Wednesday
2000-10-19,270.85,270.75,270.85,270.85,0.07,Thursday
2000-10-20,271.5,271.1,271.5,271.5,0.24,Friday
2000-10-23,270.35,271.3,270.35,270.35,-0.42,Monday
2000-10-24,270.3,270.4,270.3,270.3,-0.02,Tuesday
2000-10-25,266.75,270.4,266.75,266.75,-1.31,Wednesday
2000-10-26,265.35,266.8,265.35,265.35,-0.52,Thursday
2000-10-27,264.55,265.35,264.55,264.55,-0.3,Friday
2000-10-30,264.85,264.75,264.85,264.85,0.11,Monday
2000-10-31,265.05,264.6,265.05,265.05,0.08,Tuesday
2000-11-01,264.3,265.1,264.3,264.3,-0.28,Wednesday
2000-11-02,264.65,264.65,264.65,264.65,0.13,Thursday
2000-11-03,265.2,264.8,265.2,265.2,0.21,Friday
2000-11-06,265.0,265.2,265.0,265.0,-0.08,Monday
2000-11-07,264.4,265.15,264.4,264.4,-0.23,Tuesday
2000-11-08,265.15,264.65,265.15,265.15,0.28,Wednesday
2000-11-09,265.75,265.05,265.75,265.75,0.23,Thursday
2000-11-10,264.65,265.95,264.65,264.65,-0.41,Friday
2000-11-13,264.45,264.75,264.45,264.45,-0.08,Monday
2000-11-14,264.65,264.55,264.65,264.65,0.08,Tuesday
2000-11-15,265.25,264.6,265.25,265.25,0.23,Wednesday
2000-11-16,265.85,264.85,265.85,265.85,0.23,Thursday
2000-11-17,265.8,265.85,265.8,265.8,-0.02,Friday
2000-11-20,266.35,266.25,266.35,266.35,0.21,Monday
2000-11-21,265.85,266.45,265.85,265.85,-0.19,Tuesday
2000-11-22,266.65,265.85,266.65,266.65,0.3,Wednesday
2000-11-23,266.0,267.25,266.0,266.0,-0.24,Thursday
2000-11-24,265.95,266.05,265.95,265.95,-0.02,Friday
2000-11-27,270.05,265.75,270.05,270.05,1.54,Monday
2000-11-28,269.5,270.0,269.5,269.5,-0.2,Tuesday
2000-11-29,266.95,269.6,266.95,266.95,-0.95,Wednesday
2000-11-30,270.35,266.9,270.35,270.35,1.27,Thursday
2000-12-01,269.4,270.45,269.4,269.4,-0.35,Friday
2000-12-04,271.15,269.75,271.15,271.15,0.65,Monday
2000-12-05,270.35,270.9,270.35,270.35,-0.3,Tuesday
2000-12-06,274.95,270.6,274.95,274.95,1.7,Wednesday
2000-12-07,273.75,274.75,273.75,273.75,-0.44,Thursday
2000-12-08,272.75,273.75,272.75,272.75,-0.37,Friday
2000-12-11,270.55,272.75,270.55,270.55,-0.81,Monday
2000-12-12,271.35,270.65,271.35,271.35,0.3,Tuesday
2000-12-13,269.2,270.95,269.2,269.2,-0.79,Wednesday
2000-12-14,269.75,269.25,269.75,269.75,0.2,Thursday
2000-12-15,270.9,270.05,270.9,270.9,0.43,Friday
2000-12-18,270.25,271.0,270.25,270.25,-0.24,Monday
2000-12-19,270.25,270.25,270.25,270.25,0.0,Tuesday
2000-12-20,273.65,270.5,273.65,273.65,1.26,Wednesday
2000-12-21,274.25,273.45,274.25,274.25,0.22,Thursday
2000-12-22,273.95,274.25,273.95,273.95,-0.11,Friday
2000-12-25,274.05,274.0,274.05,274.05,0.04,Monday
2000-12-26,274.45,273.4,274.45,274.45,0.15,Tuesday
